[09-07 16:01:44] gate driver started (pid 7431)
[09-07 16:01:55] gate driver started (pid 7436)
[09-07 16:01:55] gate driver started (pid 7437)
[09-07 16:02:05] gate driver started (pid 7445)
[09-07 16:02:05] gate driver started (pid 7444)
[09-07 16:02:16] gate driver started (pid 7454)
[09-07 16:02:16] gate driver started (pid 7453)
[09-07 16:02:27] gate driver started (pid 7461)
[09-07 16:02:27] gate driver started (pid 7462)
[09-07 16:02:38] gate driver started (pid 7467)
[09-07 16:02:38] gate driver started (pid 7468)
[09-07 16:02:49] gate driver started (pid 7473)
[09-07 16:02:49] gate driver started (pid 7474)
[09-07 16:03:00] gate driver started (pid 7480)
[09-07 16:03:00] gate driver started (pid 7481)
[09-07 16:03:12] gate driver started (pid 7500)
[09-07 16:03:12] gate driver started (pid 7501)
[09-07 16:03:24] gate driver started (pid 7517)
[09-07 16:03:24] gate driver started (pid 7516)
[09-07 16:03:34] gate driver started (pid 7522)
[09-07 16:03:34] gate driver started (pid 7523)
[09-07 16:03:45] gate driver started (pid 7529)
[09-07 16:03:45] gate driver started (pid 7530)
[09-07 16:03:56] gate driver started (pid 7546)
[09-07 16:03:56] gate driver started (pid 7545)
[09-07 16:04:07] gate driver started (pid 7558)
[09-07 16:04:07] gate driver started (pid 7557)
[09-07 16:04:18] gate driver started (pid 7571)
[09-07 16:04:18] gate driver started (pid 7572)
[09-07 16:04:28] gate driver started (pid 7578)
[09-07 16:04:28] gate driver started (pid 7579)
[09-07 16:04:39] gate driver started (pid 7585)
[09-07 16:04:39] gate driver started (pid 7586)
[09-07 16:04:50] gate driver started (pid 7591)
[09-07 16:04:50] gate driver started (pid 7592)
[09-07 16:05:00] gate driver started (pid 7609)
[09-07 16:05:00] gate driver started (pid 7608)
[09-07 16:05:12] gate driver started (pid 7632)
[09-07 16:05:12] gate driver started (pid 7633)
[09-07 16:05:22] gate driver started (pid 7662)
[09-07 16:05:22] gate driver started (pid 7661)
[09-07 16:05:33] gate driver started (pid 7684)
[09-07 16:05:33] gate driver started (pid 7683)
[09-07 16:05:43] gate driver started (pid 7703)
[09-07 16:05:43] gate driver started (pid 7704)
[09-07 16:05:54] gate driver started (pid 7720)
[09-07 16:05:54] gate driver started (pid 7721)
[09-07 16:06:05] gate driver started (pid 7736)
[09-07 16:06:05] gate driver started (pid 7737)
[09-07 16:06:16] gate driver started (pid 7752)
[09-07 16:06:16] gate driver started (pid 7751)
[09-07 16:06:27] gate driver started (pid 7768)
[09-07 16:06:27] gate driver started (pid 7769)
[09-07 16:06:38] gate driver started (pid 7776)
[09-07 16:06:38] gate driver started (pid 7777)
[09-07 16:06:49] gate driver started (pid 7784)
[09-07 16:06:49] gate driver started (pid 7783)
[09-07 16:06:59] gate driver started (pid 7790)
[09-07 16:06:59] gate driver started (pid 7789)
[09-07 16:07:10] gate driver started (pid 7796)
[09-07 16:07:10] gate driver started (pid 7797)
[09-07 16:07:21] gate driver started (pid 7802)
[09-07 16:07:21] gate driver started (pid 7803)
[09-07 16:07:33] gate driver started (pid 7810)
[09-07 16:07:33] gate driver started (pid 7811)
[09-07 16:07:44] gate driver started (pid 7822)
[09-07 16:07:44] gate driver started (pid 7823)
[09-07 16:07:54] gate driver started (pid 7828)
[09-07 16:07:54] gate driver started (pid 7829)
[09-07 16:08:05] gate driver started (pid 7835)
[09-07 16:08:05] gate driver started (pid 7834)
[09-07 16:08:16] gate driver started (pid 7843)
[09-07 16:08:16] gate driver started (pid 7842)
[09-07 16:08:26] gate driver started (pid 7850)
[09-07 16:08:26] gate driver started (pid 7849)
[09-07 16:08:37] gate driver started (pid 7866)
[09-07 16:08:37] gate driver started (pid 7865)
[09-07 16:08:49] gate driver started (pid 7899)
[09-07 16:08:49] gate driver started (pid 7898)
[09-07 16:09:00] gate driver started (pid 7929)
[09-07 16:09:00] gate driver started (pid 7928)
[09-07 16:09:11] gate driver started (pid 7945)
[09-07 16:09:11] gate driver started (pid 7944)
[09-07 16:09:22] gate driver started (pid 7967)
[09-07 16:09:22] gate driver started (pid 7966)
[09-07 16:09:34] gate driver started (pid 7984)
[09-07 16:09:34] gate driver started (pid 7985)
[09-07 16:09:47] gate driver started (pid 8012)
[09-07 16:09:47] gate driver started (pid 8011)
[09-07 16:10:00] gate driver started (pid 8027)
[09-07 16:10:00] gate driver started (pid 8026)
[09-07 16:10:11] gate driver started (pid 8044)
[09-07 16:10:11] gate driver started (pid 8043)
[09-07 16:10:22] gate driver started (pid 8050)
[09-07 16:10:22] gate driver started (pid 8049)
[09-07 16:10:33] gate driver started (pid 8057)
[09-07 16:10:33] gate driver started (pid 8056)
[09-07 16:10:44] gate driver started (pid 8073)
[09-07 16:10:44] gate driver started (pid 8072)
[09-07 16:10:55] gate driver started (pid 8088)
[09-07 16:10:55] gate driver started (pid 8087)
[09-07 16:11:06] gate driver started (pid 8102)
[09-07 16:11:06] gate driver started (pid 8101)
[09-07 16:11:16] gate driver started (pid 8116)
[09-07 16:11:16] gate driver started (pid 8117)
[09-07 16:11:27] gate driver started (pid 8127)
[09-07 16:11:27] gate driver started (pid 8126)
[09-07 16:11:38] gate driver started (pid 8154)
[09-07 16:11:38] gate driver started (pid 8155)
[09-07 16:11:49] gate driver started (pid 8183)
[09-07 16:11:49] gate driver started (pid 8182)
[09-07 16:11:59] gate driver started (pid 8200)
[09-07 16:11:59] gate driver started (pid 8199)
[09-07 16:12:10] gate driver started (pid 8211)
[09-07 16:12:10] gate driver started (pid 8210)
[09-07 16:12:21] gate driver started (pid 8265)
[09-07 16:12:21] gate driver started (pid 8266)
[09-07 16:12:32] gate driver started (pid 8292)
[09-07 16:12:32] gate driver started (pid 8293)
[09-07 16:12:44] gate driver started (pid 8322)
[09-07 16:12:44] gate driver started (pid 8323)
[09-07 16:12:56] gate driver started (pid 8331)
[09-07 16:12:56] gate driver started (pid 8330)
[09-07 16:13:08] gate driver started (pid 8336)
[09-07 16:13:08] gate driver started (pid 8337)
[09-07 16:13:20] gate driver started (pid 8351)
[09-07 16:13:20] gate driver started (pid 8350)
[09-07 16:13:31] gate driver started (pid 8361)
[09-07 16:13:31] gate driver started (pid 8360)
[09-07 16:13:42] gate driver started (pid 8367)
[09-07 16:13:42] gate driver started (pid 8368)
[09-07 16:13:54] gate driver started (pid 8376)
[09-07 16:13:54] gate driver started (pid 8375)
[09-07 16:14:06] gate driver started (pid 8386)
[09-07 16:14:06] gate driver started (pid 8387)
[09-07 16:14:17] gate driver started (pid 8410)
[09-07 16:14:17] gate driver started (pid 8409)
[09-07 16:14:29] gate driver started (pid 8443)
[09-07 16:14:29] gate driver started (pid 8442)
[09-07 16:14:39] gate driver started (pid 8455)
[09-07 16:14:39] gate driver started (pid 8456)
[09-07 16:14:50] gate driver started (pid 8469)
[09-07 16:14:50] gate driver started (pid 8468)
[09-07 16:15:01] gate driver started (pid 8479)
[09-07 16:15:01] gate driver started (pid 8478)
[09-07 16:15:12] gate driver started (pid 8488)
[09-07 16:15:12] gate driver started (pid 8487)
[09-07 16:15:22] gate driver started (pid 8500)
[09-07 16:15:22] gate driver started (pid 8501)
[09-07 16:15:33] gate driver started (pid 8512)
[09-07 16:15:33] gate driver started (pid 8513)
[09-07 16:15:44] gate driver started (pid 8549)
[09-07 16:15:44] gate driver started (pid 8550)
[09-07 16:15:55] gate driver started (pid 8592)
[09-07 16:15:55] gate driver started (pid 8591)
[09-07 16:16:06] gate driver started (pid 8612)
[09-07 16:16:06] gate driver started (pid 8611)
[09-07 16:16:17] gate driver started (pid 8632)
[09-07 16:16:17] gate driver started (pid 8631)
[09-07 16:16:28] gate driver started (pid 8642)
[09-07 16:16:28] gate driver started (pid 8641)
[09-07 16:16:38] gate driver started (pid 8654)
[09-07 16:16:38] gate driver started (pid 8655)
[09-07 16:16:49] gate driver started (pid 8664)
[09-07 16:16:49] gate driver started (pid 8663)
[09-07 16:17:00] gate driver started (pid 8674)
[09-07 16:17:00] gate driver started (pid 8675)
[09-07 16:17:12] gate driver started (pid 8692)
[09-07 16:17:12] gate driver started (pid 8693)
[09-07 16:17:23] gate driver started (pid 8702)
[09-07 16:17:23] gate driver started (pid 8701)
[09-07 16:17:36] gate driver started (pid 8744)
[09-07 16:17:36] gate driver started (pid 8745)
[09-07 16:17:46] gate driver started (pid 8764)
[09-07 16:17:46] gate driver started (pid 8765)
[09-07 16:17:57] gate driver started (pid 8781)
[09-07 16:17:57] gate driver started (pid 8782)
[09-07 16:18:08] gate driver started (pid 8797)
[09-07 16:18:08] gate driver started (pid 8796)
[09-07 16:18:19] gate driver started (pid 8806)
[09-07 16:18:19] gate driver started (pid 8805)
[09-07 16:18:30] gate driver started (pid 8816)
[09-07 16:18:30] gate driver started (pid 8815)
[09-07 16:18:41] gate driver started (pid 8833)
[09-07 16:18:41] gate driver started (pid 8832)
[09-07 16:18:52] gate driver started (pid 8842)
[09-07 16:18:52] gate driver started (pid 8843)
[09-07 16:19:02] gate driver started (pid 8850)
[09-07 16:19:02] gate driver started (pid 8851)
[09-07 16:19:13] gate driver started (pid 8857)
[09-07 16:19:13] gate driver started (pid 8856)
[09-07 16:19:24] gate driver started (pid 8872)
[09-07 16:19:24] gate driver started (pid 8871)
[09-07 16:19:35] gate driver started (pid 8918)
[09-07 16:19:35] gate driver started (pid 8917)
[09-07 16:19:46] gate driver started (pid 8958)
[09-07 16:19:46] gate driver started (pid 8959)
[09-07 16:19:56] gate driver started (pid 8972)
[09-07 16:19:56] gate driver started (pid 8973)
[09-07 16:20:07] gate driver started (pid 8991)
[09-07 16:20:07] gate driver started (pid 8990)
[09-07 16:20:18] gate driver started (pid 9001)
[09-07 16:20:18] gate driver started (pid 9002)
[09-07 16:20:29] gate driver started (pid 9026)
[09-07 16:20:29] gate driver started (pid 9025)
[09-07 16:20:40] gate driver started (pid 9050)
[09-07 16:20:40] gate driver started (pid 9049)
[09-07 16:20:51] gate driver started (pid 9064)
[09-07 16:20:51] gate driver started (pid 9063)
[09-07 16:21:01] gate driver started (pid 9070)
[09-07 16:21:01] gate driver started (pid 9071)
[09-07 16:21:12] gate driver started (pid 9077)
[09-07 16:21:12] gate driver started (pid 9076)
[09-07 16:21:23] gate driver started (pid 9086)
[09-07 16:21:23] gate driver started (pid 9085)
[09-07 16:21:33] gate driver started (pid 9093)
[09-07 16:21:33] gate driver started (pid 9094)
[09-07 16:21:44] gate driver started (pid 9110)
[09-07 16:21:44] gate driver started (pid 9111)
